stop_name,latitude,longitude
Château de Vincennes,48.844456,2.440440
Bérault,48.845471,2.429205
Saint-Mandé,48.846423,2.418760
Porte de Vincennes,48.847226,2.409099
Nation,48.848122,2.395556
Reuilly-Diderot,48.847154,2.386134
Gare de Lyon,48.844406,2.373693
Bastille,48.852962,2.368975
Saint-Paul (Le Marais),48.855236,2.360956
Hôtel de Ville,48.857465,2.351293
Châtelet,48.858634,2.347047
Louvre-Rivoli,48.860806,2.341109
Palais-Royal (Musée du Louvre),48.862589,2.336687
Tuileries,48.864344,2.330130
Concorde,48.866424,2.322734
Champs-Elysées-Clémenceau,48.867754,2.313720
Franklin-Roosevelt,48.869069,2.309056
George V,48.872024,2.300560
Charles de Gaulle-Etoile,48.874728,2.295510
Argentine,48.875337,2.290128
Porte Maillot,48.877833,2.283621
Les Sablons (Jardin d'acclimatation),48.881016,2.272239
Pont de Neuilly,48.884708,2.260515
Esplanade de la Défense,48.888138,2.249793
La Défense (Grande Arche),48.892171,2.237067
Avron,48.851905,2.397997
Alexandre-Dumas,48.856228,2.394676
Philippe Auguste,48.858062,2.390861
Père-Lachaise,48.862653,2.386859
Ménilmontant,48.866447,2.383599
Couronnes,48.869091,2.380543
Belleville,48.872066,2.376662
Colonel Fabien,48.877610,2.370811
Jaurès,48.882428,2.370783
Stalingrad,48.884469,2.367591
La Chapelle,48.884400,2.360400
Barbès-Rochechouart,48.883611,2.350144
Anvers,48.882973,2.344667
Pigalle,48.882237,2.337699
Blanche,48.883556,2.333380
Place de Clichy,48.883902,2.327887
Rome,48.882333,2.321802
Villiers,48.881094,2.314721
Monceau,48.880325,2.308774
Courcelles,48.879330,2.304070
Ternes,48.877973,2.298310
Victor Hugo,48.869799,2.285335
Porte Dauphine (Maréchal de Lattre de Tassigny),48.870823,2.275855
Gallieni (Parc de Bagnolet),48.865335,2.416697
Porte de Bagnolet,48.864017,2.408432
Gambetta,48.865071,2.397830
Rue Saint-Maur,48.864286,2.379742
Parmentier,48.865254,2.374582
République,48.867647,2.363750
Temple,48.866514,2.360804
Arts-et-Métiers,48.865455,2.356733
Réaumur-Sébastopol,48.866615,2.352094
Sentier,48.867513,2.346552
Bourse,48.868654,2.341376
Quatre Septembre,48.869638,2.336233
Opéra,48.870577,2.331758
Havre-Caumartin,48.873613,2.327619
Saint-Lazare,48.875940,2.325233
Europe,48.878770,2.322265
Malesherbes,48.588242,2.355093
Wagram,48.883809,2.304674
Pereire,48.885469,2.298502
Porte de Champerret,48.885994,2.293065
Louise Michel,48.888706,2.288084
Anatole-France,48.892083,2.285010
Pont de Levallois-Bécon,48.897154,2.280414
Porte des Lilas,48.876972,2.406736
Saint-Fargeau,48.718587,2.473562
Pelleport,48.868440,2.401562
Porte de Clignancourt,48.897722,2.344963
Simplon,48.894344,2.347431
Marcadet-Poissonniers,48.891452,2.349721
Château Rouge,48.886711,2.349559
Gare du Nord,48.880883,2.357014
Gare de l'Est (Verdun),48.876441,2.358361
Château d'Eau,48.872621,2.356154
Strasbourg-Saint-Denis,48.869478,2.354035
Etienne Marcel,48.863972,2.349618
Les Halles,48.862515,2.345786
Cité,48.854936,2.347321
Saint-Michel,48.852940,2.344198
Odéon,48.852118,2.340170
Saint-Germain des Prés,48.853719,2.333776
Saint-Sulpice,48.851071,2.330701
Saint-Placide,48.846878,2.326793
Montparnasse-Bienvenue,48.842987,2.322753
Vavin,48.842218,2.329009
Raspail,48.838964,2.330754
Denfert-Rochereau,48.833606,2.332599
Mouton-Duvernet,48.831113,2.329705
Alésia,48.828188,2.327165
Porte d'Orléans (Général Leclerc),48.823282,2.325543
Mairie de Montrouge,48.818676,2.319740
Barbara,48.809704,2.317449
Bagneux Lucie Aubrac,48.803630,2.318054
Bobigny-Pablo-Picasso,48.906455,2.449598
Bobigny-Pantin (Raymond Queneau),48.895455,2.425327
Eglise de Pantin,48.893150,2.412763
Hoche,48.891229,2.402352
Porte de Pantin,48.888713,2.393733
Ourcq,48.886857,2.385913
Laumière,48.884971,2.378717
Jacques-Bonsergent,48.870396,2.361400
Oberkampf,48.864992,2.367956
Richard-Lenoir,48.859874,2.371914
Bréguet-Sabin,48.856141,2.370209
Quai de la Rapée,48.846485,2.365910
Gare d'Austerlitz,48.842424,2.365393
Saint-Marcel,48.838427,2.360967
Campo-Formio,48.835153,2.358566
Place d'Italie,48.831111,2.355782
Picpus,48.845062,2.401289
Bel-Air,48.841338,2.400919
Daumesnil (Félix Eboué),48.839498,2.395943
Dugommier,48.839041,2.389620
Bercy,48.840195,2.379733
Quai de la Gare,48.837045,2.372826
Chevaleret,48.834948,2.368126
Nationale,48.833217,2.362856
Corvisart,48.829791,2.350415
Glacière,48.831130,2.343512
Saint-Jacques,48.832901,2.337135
Edgar-Quinet,48.840663,2.326385
Pasteur,48.842774,2.312630
Sèvres-Lecourbe,48.845627,2.309531
Cambronne,48.847507,2.302968
La Motte-Picquet-Grenelle,48.849297,2.298727
Dupleix,48.850435,2.293612
Bir-Hakeim (Grenelle),48.853943,2.289335
Passy,48.857449,2.285812
Trocadéro,48.863338,2.286912
Boissière,48.866983,2.290059
Kléber,48.871262,2.293241
La Courneuve-8-Mai-1945,48.920786,2.410599
Fort d'Aubervilliers,48.914950,2.404409
Aubervilliers Pantin (4 Chemins),48.903784,2.392221
Porte de la Villette,48.897409,2.386045
Corentin-Cariou,48.894656,2.382160
Crimée,48.890906,2.377090
Riquet,48.887968,2.373457
Louis Blanc,48.881069,2.364686
Château Landon,48.878444,2.361965
Poissonnière,48.877100,2.348776
Cadet,48.876009,2.344572
Le Peletier,48.874972,2.340576
Chaussée d'Antin (La Fayette),48.873029,2.334201
Pyramides,48.865822,2.334314
Pont Neuf,48.858554,2.342233
Pont Marie (Cité des Arts),48.853575,2.357163
Sully-Morland,48.851621,2.361525
Jussieu,48.846051,2.354984
Place Monge (Jardin des Plantes),48.842867,2.352225
Censier-Daubenton,48.840234,2.351606
Les Gobelins,48.835930,2.352542
Tolbiac,48.826426,2.357246
Maison Blanche,48.821802,2.358803
Le Kremlin-Bicêtre,48.810130,2.362263
Villejuif-Léo Lagrange,48.804688,2.363953
Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),48.796483,2.368270
Villejuif-Louis Aragon,48.787422,2.367396
Porte d'Italie,48.819137,2.359917
Porte de Choisy,48.819697,2.364579
Porte d'Ivry,48.821593,2.369672
Pierre et Marie Curie,48.815931,2.377267
Mairie d'Ivry,48.810521,2.384290
Pré-Saint-Gervais,48.880272,2.398468
Danube,48.881816,2.394012
Botzaris,48.879493,2.388567
Buttes-Chaumont,48.878514,2.381615
Bolivar,48.880667,2.374496
Place des Fêtes,48.876878,2.393020
Balard,48.836209,2.278225
Lourmel,48.838735,2.282143
Boucicaut,48.841094,2.287946
Félix Faure,48.842747,2.291912
Commerce,48.844795,2.293952
Ecole Militaire,48.854891,2.306403
La Tour-Maubourg,48.857725,2.310566
Invalides,48.861098,2.313773
Madeleine,48.870178,2.325729
Richelieu-Drouot,48.871942,2.338660
